filename,file_size_bytes,heuristic_score,heuristic_verdict,incremental_updates,eof_marker_count,pdf_version,metadata_flag_count,metadata_creator,metadata_date_gap_days,total_unique_fonts,non_embedded_fonts,total_hidden_spans,white_text_spans,tiny_size_spans,javascript_count,embedded_files_count,has_open_action,has_xfa_form,page_count,blank_pages,unique_page_sizes,has_signature_field,signature_count,signature_coverage_gaps,render_ela_mean,render_ela_suspicious_block_ratio,render_noise_hotspot_ratio,embedded_image_count,embedded_noise_hotspot_ratio,file_entropy_bits,total_pdf_objects,obj_stm_count,label
Bank_Statement.pdf,145677,42.0,LIKELY TAMPERED,0,1,1.3,1,,0.0,3,0,0,0,0,0,0,0,0,36,0,1,0,0,0,1.454,0.0958,0.0685,1,0.0,7.9672,81,0,0
Deutsche_Offer_Letter.pdf,537896,45.0,LIKELY TAMPERED,0,1,1.5,1,Microsoft® Word 2013,1315.0,7,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1.138,0.1759,0.0897,32,0.0,7.9865,1096,0,0
Feb-2019-GE-Salary-Slip.pdf,162177,30.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.906,0.1662,0.0253,2,0.1322,7.8888,22,0,0
GE-Experience-Letter.pdf,184622,100.0,TAMPERED,2,3,1.7,1,Microsoft® Word for Office 365,0.0,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.54,0.194,0.115,1,0.2083,7.1972,144,0,0
GE-Releiving-Letter.pdf,144067,100.0,TAMPERED,1,2,1.7,3,PDFsam Basic v3.3.7,0.0,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.304,0.1204,0.1579,1,0.2083,7.126,43,0,0
Hrishikesh_Maluskar_Payslip_December_2019_unlocked.pdf,59923,75.0,TAMPERED,1,2,1.7,0,Microsoft® Word 2016,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.588,0.1652,0.1306,2,0.1842,7.7797,176,0,0
Hrishikesh_Maluskar_Payslip_November_2019_unlocked.pdf,63478,75.0,TAMPERED,1,2,1.7,0,Microsoft® Word 2016,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.518,0.1545,0.154,2,0.1842,7.734,260,0,0
Hrishikesh_Maluskar_Payslip_October_2019_unlocked.pdf,68894,60.0,TAMPERED,1,2,1.7,0,Microsoft® Word 2016,0.0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0.855,0.1618,0.076,2,0.1842,7.7502,274,0,0
iGATE-Patni_Offer_Letter.pdf,30585,45.0,LIKELY TAMPERED,0,1,1.4,1,,0.0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1.095,0.1785,0.1263,1,0.1,7.9311,23,0,0
Intellect_Offer_Letter.pdf,211893,70.0,TAMPERED,0,1,1.3,1,PrimoPDF http://www.primopdf.com,0.0,8,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0.933,0.2373,0.1116,4,0.0,7.9801,84,0,0
Invoice_168804260.pdf,14657,20.0,UNCERTAIN,0,1,1.6,0,JasperReports Library version 5.6.1,0.0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0.707,0.1598,0.0936,1,0.0455,7.9489,26,0,0
Jan-2019-GE-Salary-Slip.pdf,162176,30.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.904,0.1667,0.0253,2,0.1322,7.8887,22,0,0
L8F-Intellect-Experience.pdf,127069,52.0,LIKELY TAMPERED,0,1,1.7,2,,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.199,0.0336,0.0409,1,0.0161,7.997,7,0,0
March-2019-GE-Salary-Slip.pdf,162178,30.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.906,0.1657,0.0273,2,0.1322,7.8886,22,0,0
Mastercard-Appraisal-Letter.pdf,55158,55.0,TAMPERED,0,1,1.5,0,PeopleFluent Talent Management,0.0,3,0,34,34,0,0,0,0,0,2,0,1,0,0,0,1.38,0.1378,0.0526,6,0.1417,7.9708,41,0,0
Mastercard_Offer_Letter.pdf,288735,65.0,TAMPERED,1,2,1.7,0,Microsoft® Word for Microsoft 365,0.0,9,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1.058,0.1533,0.0842,2,0.0,7.947,333,0,0
May-2019-GE-Salary-Slip.pdf,162048,30.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.918,0.154,0.0292,2,0.1322,7.8879,22,0,0
Moder_Offer_Letter.pdf,163315,60.0,TAMPERED,0,1,1.7,0,Writer,0.0,5,0,12,12,0,0,0,0,0,4,0,1,0,0,0,1.544,0.0659,0.1221,3,0.1059,7.4906,417,0,0
Payslip April 2023_unlocked.pdf,58928,50.0,LIKELY TAMPERED,0,1,1.6,2,,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.718,0.1798,0.0585,1,0.0,7.9845,25,0,0
Payslip-Dec-2022_unlocked.pdf,56989,65.0,TAMPERED,0,1,1.4,2,,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.593,0.1696,0.2047,1,0.0,7.9728,25,0,0
Wipro_Offer_Letter.pdf,309442,90.0,TAMPERED,1,2,1.7,0,Microsoft® Word 2016,0.0,5,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0.79,0.2242,0.1011,4,0.125,7.911,685,0,0
114266-Mastercard-Experience.pdf,96568,100.0,TAMPERED,2,3,1.7,0,Microsoft® Word for Microsoft 365,0.0,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.397,0.1569,0.1516,3,0.0,7.8849,73,0,1
20099939-ECard.pdf,94325,75.0,TAMPERED,1,2,1.4,0,PD4ML. HTML to PDF Converter for .NET,0.0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1.305,0.1589,0.0858,38,0.0,7.8124,101,0,1
20099939-Wipro-Experience.pdf,172607,100.0,TAMPERED,1,2,1.4,0,JasperReports Library version 6.9.0-cb8f9004be492ccc537180b49c026951f4220bf3,0.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.493,0.1418,0.1248,4,0.1272,7.978,19,0,1
212608633-GE-Experience.pdf,185824,100.0,TAMPERED,3,4,1.7,1,Microsoft® Word for Office 365,0.0,6,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0.504,0.1842,0.115,1,0.2083,7.1963,149,0,1
212608633_65_2017-2018.pdf,150279,100.0,TAMPERED,3,4,1.4,0,ClearTax.in,0.0,5,0,1,0,0,0,0,0,0,7,0,1,0,3,3,1.092,0.1447,0.0234,4,0.1083,7.5343,77,0,1
212608633_65_2018-2019.pdf,167730,100.0,TAMPERED,2,3,1.4,1,pdftk 1.45 - www.pdftk.com,0.0,5,0,1,0,0,0,0,0,0,8,0,2,0,1,1,1.089,0.1442,0.0156,8,0.1083,7.5195,63,0,1
3126014-CMC-Experience.pdf,75588,52.0,LIKELY TAMPERED,0,1,1.7,2,,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.89,0.0327,0.0585,1,0.0088,7.9957,7,0,1
